norm_id;stofnaam;casnummer;aquocode;categorie;compartiment;norm;waarde;eenheid;compartimentcode;compartimentomschrijving;grootheidcode;grootheidomschrijving;hoedanigheidcode;hoedanigheidomschrijving;waardebewerkingsmethodecode;waardebewerkingsmethodeomschrijving
1;1-(3,4-dichloorfenyl)ureum;2327-02-8;134DClFyurum;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MTR (opgelost);100;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
2;1-(4-chloorfenyl)ureum;140-38-5;14ClFyurum;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MTR (opgelost);7,2;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
4;1-(4-isopropylfenyl)-3-methylureum;34123-57-4;14iC3yFy3C1y;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MTR (opgelost);2,3;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
5;1-(4-isopropylfenyl)ureum;56046-17-4;14iC3yFyurum;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren Indicatief MTR (opgelost);2,3;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;nf;na filtratie (opgeloste fractie);P90;90-Percentiel
7;1,1,1-trichloorethaan;71-55-6;111TClC2a;Milieu;Grondwater;Signaleringsparameter  beoordeling grondwatersanering (opgelost);300;µg/l;GW;Grondwater;CONCTTE;(massa)Concentratie;nf;na filtratie;Nee;
12;1,1,1-trichloorethaan;71-55-6;111TClC2a;Milieu;Oppervlaktewater zoet;log Kp l/kg (zwevend stof);1,09;;OW;Oppervlaktewater;NVT;Niet van toepassing;NVT;Niet van toepassing;NVT;Niet van toepassing
23;1,1,1-trichloorethaan;71-55-6;111TClC2a;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren JG-MKN (totaal);21;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
24;1,1,1-trichloorethaan;71-55-6;111TClC2a;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren MAC-MKN (totaal);54;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;MAX;Maximum
25;1,1,1-trichloorethaan;71-55-6;111TClC2a;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren JG-MKN (totaal);2,1;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
26;1,1,1-trichloorethaan;71-55-6;111TClC2a;Milieu;Oppervlaktewater zout;Andere oppervlaktewateren MAC-MKN (totaal);5,4;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;MAX;Maximum
29;1,1,1-trichloorethaan;71-55-6;111TClC2a;Milieu;Grondwater;Standaardwaarden grondwater (inclusief AC) (opgelost);0,01;µg/l;GW;Grondwater;CONCTTE;(massa)Concentratie;nf;na filtratie;Nee;
55;1,1,2,2-tetrachloorethaan;79-34-5;1122T4ClC2a;Milieu;Oppervlaktewater zoet;log Kp l/kg (zwevend stof);1,19;;OW;Oppervlaktewater;NVT;Niet van toepassing;NVT;Niet van toepassing;NVT;Niet van toepassing
56;1,1,2,2-tetrachloorethaan;79-34-5;1122T4ClC2a;Milieu;Oppervlaktewater zoet;Landoppervlaktewateren JG-MKN (totaal);8;µg/l;OW;Oppervlaktewater;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;JGM;Jaargemiddelde
