parameter_code,hoedanigheid_code
alCl,NVT
Ant,NVT
atzne,NVT
Ben,NVT
sPBDE6,NVT
PBDE28,NVT
PBDE47,NVT
PBDE99,NVT
PBDE100,NVT
PBDE153,NVT
PBDE154,NVT
Cd,nf
T4ClC1a,NVT
sC10C13Clakn,NVT
Clfvfs,NVT
C2yClprfs,NVT
sdrin4,NVT
aldn,NVT
dieldn,NVT
endn,NVT
idn,NVT
sDDX4,NVT
24DDT,NVT
44DDT,NVT
44DDD,NVT
44DDE,NVT
12DClC2a,NVT
DClC1a,NVT
DEHP,NVT
Durn,NVT
endsfn,NVT
aedsfn,NVT
bedsfn,NVT
Flu,NVT
HCB,NVT
HxClbtDen,NVT
sHCH4,NVT
aHCH,NVT
bHCH,NVT
cHCH,NVT
dHCH,NVT
iptrn,NVT
Pb,nf
Hg,nf
Naf,NVT
Ni,nf
s4C9yFol,NVT
4C9yFol,NVT
4ttC8yFol,NVT
PeClBen,NVT
PeClFol,NVT
BaP,NVT
BbF,NVT
BkF,NVT
BghiPe,NVT
InP,NVT
simzne,NVT
T4ClC2e,NVT
TClC2e,NVT
TC4ySn,NVT
TClBen,NVT
123TClBen,NVT
124TClBen,NVT
135TClBen,NVT
TClC1a,NVT
Tfrlne,NVT
Dcfl,NVT
slinvertPFOS,NVT
PFOS,NVT
sverttPFOS,NVT
quinoxfn,NVT
sDOxns29,NA
acnfn,NVT
bfnx,NVT
irgrl,NVT
cypmtn,NVT
DClvs,NVT
sabcHBCD,NVT
aHBCD,NVT
bHBCD,NVT
cHBCD,NVT
sHpCl1,NVT
HpCl,NVT
cHpClepO,NVT
terbtn,NVT
As,nf
C2yazfs,NVT
C1yazfs,NVT
benzCl,NVT
aaDClTol,NVT
4ClAn,NVT
DC4ySn,NVT
12DClC3a,NVT
DClppP,NVT
Dmtat,NVT
C2yBen,NVT
feNO2ton,NVT
fenton,NVT
linrn,NVT
malton,NVT
MCPA,NVT
mecppP,NVT
mevfs,NVT
Mlnrn,NVT
omtat,NVT
BaA,NVT
Fen,NVT
Chr,NVT
C2yprton,NVT
C1yprton,NVT
Clidzn,NVT
Tazfs,NVT
TC4yPO4,NVT
TClfn,NVT
TFySn,NVT
sxyln,NVT
12xyln,NVT
13xyln,NVT
14xyln,NVT
bentzn,NVT
Ti,nf
B,nf
U,nf
Te,nf
Ag,nf
OcC1yccT4slx,NVT
abmtne,NVT
NH4,N
Sb,NVT
Ba,nf
Be,nf
captn,NVT
carbdzm,NVT
Clpfm,NVT
Cltlrn,NVT
Cr,nf
dmtn,NVT
Daznn,NVT
DmtnmdP,NVT
esfvlrt,NVT
fenamfs,NVT
fenOxcb,NVT
heptnfs,NVT
imdcpd,NVT
lcyhltn,NVT
C1ymsfrn,NVT
Co,nf
Cu,nf
mzCl,NVT
metbtazrn,NVT
metlCl,NVT
Mo,nf
pirmcb,NVT
C1yprmfs,NVT
propxr,NVT
pyrdbn,NVT
pyrpxfn,NVT
Se,nf
tefbzrn,NVT
terC4yazne,nf
Tl,nf
Sn,nf
tolcfsC1y,NVT
V,NVT
Zn,nf
tHpClepO,NVT
sHpClepO,NVT
sHpCl2,NVT
PCDD75,NVT
PCDD66,NVT
PCDD67,NVT
PCDD70,NVT
PCDD48,NVT
PCDD73,NVT
bHpClepO,NVT
PCDD54,NVT
Li,nf
